f_weight f_lept1_pt f_lept1_eta f_lept1_phi f_lept2_pt f_lept2_eta f_lept2_phi f_lept3_pt f_lept3_eta f_lept3_phi f_lept4_pt f_lept4_eta f_lept4_phi f_jet1_pt f_jet1_eta f_jet1_phi f_jet2_pt f_jet2_eta f_jet2_phi 
1.0 39.2040977478 0.114205032587 -2.14897847176 43.9796829224 -0.694598078728 0.33865237236 28.455160141 1.19093227386 2.59886169434 5.10696172714 -0.412818878889 0.183075383306 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 35.1044006348 1.07562673092 -1.63489699364 59.1843261719 0.742131650448 1.98386824131 32.7676544189 -0.776889026165 2.45633745193 57.0531768799 -1.00301265717 -0.453537046909 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 51.0854034424 -0.936198294163 0.810692250729 46.9444389343 -0.79158115387 -2.07814240456 28.8109550476 -1.08459544182 2.31050157547 32.7311325073 -0.93577682972 -3.03971147537 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 33.1812210083 0.696638047695 -0.766210198402 82.008682251 0.565786480904 1.30542051792 79.0376739502 1.49139547348 -2.01735925674 17.6758766174 -0.0430578477681 2.57926654816 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 67.0623550415 0.645813584328 -0.255577206612 30.8173274994 -0.590276300907 -2.01056265831 28.9678401947 -0.441004902124 -1.52507913113 88.8386611938 -0.669317364693 2.51198458672 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 29.7197780609 -2.24635124207 1.65805864334 66.9443511963 -1.90740251541 -1.14585328102 84.2722244263 -1.93508529663 1.38160717487 29.4287071228 -1.85196435452 -2.4394800663 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 63.8105964661 0.314250379801 1.2540974617 23.8691864014 1.23176133633 -1.7426378727 56.1279144287 0.808426916599 -1.89249312878 26.3795280457 1.74465060234 1.47202241421 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 91.7972793579 -1.03568804264 -2.55022335052 41.2646942139 -0.754315912724 2.07425832748 107.534988403 -1.48467278481 0.00437708618119 13.4814786911 0.20744793117 1.75943088531 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 34.3314857483 0.218553304672 -1.73932230473 23.4933280945 2.30928468704 1.8494437933 50.3748168945 0.0670571252704 -1.38667309284 38.1273155212 0.197554901242 1.59896564484 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 59.5220565796 1.28733432293 2.02971839905 22.5168685913 -0.733717501163 2.71133351326 26.0841007233 -0.790642917156 -2.91376161575 88.4276046753 -0.502093017101 -0.683833420277 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 13.1922616959 -2.06237077713 -1.63154804707 36.0407218933 0.276841819286 2.44383311272 21.2337436676 0.535349428654 -0.402400076389 15.2362251282 -0.249854966998 -1.08606815338 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 34.9130973816 -1.97905433178 -2.57436728477 18.0763893127 0.551395773888 1.41024076939 29.7924232483 -2.33639979362 -1.68431437016 26.1294631958 -0.543098330498 1.51466274261 46.8753852844 -3.93477940559 -2.06031537056 34.1300010681 2.29720520973 -0.501618206501 
1.0 50.063457489 -0.385197222233 -2.92241024971 37.056804657 -1.87463581562 -1.28629970551 20.8083457947 -0.674680531025 -1.45746982098 15.1874952316 -0.00941374711692 -2.6120467186 56.4418144226 -1.65062737465 0.896377444267 -999.0 -999.0 -999.0 
1.0 14.0824317932 -1.25405156612 2.36414790154 39.312877655 -0.44108876586 0.134302392602 11.8351039886 0.33175355196 -2.83882689476 12.4025726318 0.694998025894 -1.86096572876 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 33.0979576111 -0.362124532461 -1.28189218044 24.7923145294 -0.243221849203 1.83673381805 33.4612998962 0.358684301376 0.164025768638 14.1249485016 -0.332141548395 -0.412541747093 50.3297195435 -0.482875943184 -2.94463396072 -999.0 -999.0 -999.0 
1.0 111.821395874 0.0570827685297 2.46706461906 40.2886276245 -1.10294628143 3.00344562531 9.28214931488 -1.84101629257 -2.39266395569 7.23386049271 -1.93693447113 0.312998533249 128.082183838 -1.3518178463 -0.156629025936 60.2856178284 -4.14475774765 -1.15239095688 
1.0 49.0648117065 -0.688442111015 -2.63753080368 33.5415725708 -1.28121697903 0.660818517208 45.3136901855 -0.704748690128 0.909756779671 26.9825706482 0.0732705816627 -1.68709099293 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
1.0 31.7481555939 0.0953066274524 -2.12875723839 61.5284385681 0.710269570351 1.50761318207 45.7137527466 1.04280984402 -0.995817363262 54.4749526978 0.813487350941 1.33657097816 43.3370666504 1.92993712425 -1.9045996666 -999.0 -999.0 -999.0 
1.0 27.8142299652 1.10383009911 -0.982260346413 66.2439117432 -0.563062727451 -2.05667328835 78.8370132446 0.589588284492 1.26495051384 25.0389614105 0.595699846745 -2.30837535858 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 
